order_id,product_id,customer_id,category,subcategory,product_price,discount_percent,final_price,order_channel,payment_method,delivery_days,customer_tenure_days,num_prior_orders,num_prior_returns,customer_segment,region,weather_at_order,returned
O-00023,P-4419,C-3361,Shoes,Running,14785.0,37.0,9314.55,App,Wallet,9,489,1,1,New,West,Cold,1
O-00024,P-8870,C-1403,Clothing,Tshirt,,,7843.55,,UPI,3,1996,38,3,Loyal,,Hot,1
O-00025,P-3513,C-2186,Shoes,Running,3650.0,11.0,3248.5,App,Credit Card,9,252,14,5,Loyal,East,Cold,1
O-00026,P-7437,C-1759,Home,Lamp,16121.0,1.0,15959.79,Mobile Web,Wallet,2,873,6,5,Loyal,North,Rainy,0
O-00027,P-3823,C-9599,Clothing,Jeans,10265.0,33.0,6877.55,Website,UPI,9,1850,24,0,Regular,East,Clear,1
O-00028,P-4771,C-1058,Home,Lamp,2978.0,37.0,1876.14,Mobile Web,COD,6,371,46,7,Loyal,South,Rainy,0
O-00029,P-3591,C-8464,Shoes,Running,13338.0,5.0,12671.1,App,Wallet,5,472,16,5,Loyal,East,Cold,0
O-00030,P-4367,C-9337,Shoes,Running,,,7949.6,,COD,6,1925,43,2,Regular,,Clear,1
O-00031,P-9631,C-1947,Shoes,Formal,16848.0,40.0,10108.8,Mobile Web,COD,5,1192,17,1,New,West,Rainy,1
O-00032,P-2489,C-2402,Electronics,Charger,18435.0,29.0,13088.85,App,Credit Card,2,916,5,5,New,East,Clear,0
O-00033,P-5643,C-7125,Beauty,Cream,8699.0,29.0,6176.29,Mobile Web,UPI,8,642,49,5,Loyal,West,Cold,1
O-00034,P-3130,C-3052,Shoes,Casual,3793.0,44.0,2124.08,App,Credit Card,6,1898,20,2,New,North,Rainy,0
O-00035,P-1960,C-1467,Shoes,Running,2047.0,41.0,1207.73,Website,Wallet,7,207,41,8,Loyal,West,Clear,0
O-00036,P-6781,C-6545,Shoes,Casual,15633.0,31.0,10786.77,Mobile Web,Credit Card,2,1653,26,3,Regular,West,Cold,0
O-00037,P-3247,C-3397,Beauty,Serum,13786.0,31.0,9512.34,App,COD,4,960,8,4,Regular,North,Rainy,1
O-00038,P-4414,C-2646,Footwear,Boots,6684.0,21.0,5280.36,Mobile Web,COD,3,1587,47,6,Loyal,West,Rainy,1
O-00039,P-5402,C-6872,Footwear,Sandals,19217.0,42.0,11145.86,App,Wallet,5,1070,38,6,New,South,Clear,1
O-00040,P-8745,C-9269,Beauty,Serum,13957.0,25.0,10467.75,App,Wallet,6,1276,4,6,Loyal,East,Clear,0
O-00041,P-2524,C-8207,Beauty,Cream,19206.0,47.0,10179.18,Website,Credit Card,5,1567,49,7,Loyal,West,Clear,0
O-00042,P-6544,C-2509,Electronics,Mobile,2081.0,26.0,1539.94,App,COD,6,25,28,4,Regular,East,Hot,0
O-00043,P-3121,C-6395,clOThing,Formal,10450.0,24.0,7942.0,App,Wallet,8,248,39,1,Loyal,North,Rainy,0
O-00044,P-7040,C-7574,Home,Lamp,15531.0,10.0,13977.9,Website,Credit Card,9,1636,38,6,New,West,Rainy,0
O-00045,P-1776,C-9424,Electronics,Mobile,19233.0,7.0,17886.69,Website,UPI,7,772,6,7,New,East,Cold,0
O-00046,P-4386,C-6866,Shoes,Casual,9691.0,6.0,9109.54,Mobile Web,COD,7,1694,47,4,New,South,Cold,0
O-00047,P-1291,C-7174,Clothing,Shirt,9667.0,29.0,6863.57,Website,COD,1,914,36,8,Regular,South,Cold,0
O-00048,P-9265,C-7643,Footwear,Sneakers,6178.0,25.0,4633.5,Mobile Web,Credit Card,1,787,49,0,Loyal,East,Rainy,0
O-00049,P-1215,C-6990,Clothing,Shirt,13381.0,49.0,6824.31,App,Credit Card,6,189,34,8,Loyal,North,Clear,1
O-00050,P-2783,C-1131,Electronics,Charger,15580.0,40.0,9348.0,Mobile Web,UPI,6,1819,1,0,New,North,Clear,0
O-00051,P-3589,C-8643,Shoes,Formal,19271.0,11.0,17151.19,App,COD,7,1603,48,9,New,West,Cold,0
O-00052,P-2815,C-2023,Beauty,Serum,994.0,22.0,775.32,App,Credit Card,5,1084,37,5,Regular,North,Cold,0
O-00053,P-1141,C-3436,Beauty,Perfume,1249.0,9.0,1136.59,App,Credit Card,5,1960,37,6,Regular,North,Clear,1
O-00054,P-7385,C-4703,Home,Cookware,17706.0,22.0,13810.68,App,UPI,1,1542,9,3,Loyal,East,Rainy,0
O-00055,P-5018,C-2306,Electronics,Laptop,17479.0,28.0,12584.88,App,Wallet,5,609,20,5,Regular,East,Rainy,0
O-00056,P-5574,C-7217,Home,Cookware,3139.0,23.0,2417.03,Website,Wallet,5,267,5,9,New,West,Rainy,0
O-00057,P-4606,C-6711,Home,Bedsheet,15754.0,30.0,11027.8,Mobile Web,UPI,2,823,42,2,Loyal,East,Hot,0
O-00058,P-5266,C-2331,Electronics,Headphone,8484.0,23.0,6532.68,App,COD,6,708,28,5,Loyal,East,Hot,0
O-00059,P-4083,C-5941,Home,Cookware,5076.0,39.0,3096.36,App,UPI,5,1255,26,3,Loyal,East,Cold,0
O-00060,P-5532,C-7599,Beauty,Cream,18436.0,42.0,10692.88,Website,UPI,8,499,15,5,Loyal,South,Rainy,1
O-00061,P-8396,C-1500,Clothing,Shirt,17396.0,42.0,10089.68,App,UPI,6,674,24,1,Loyal,South,Clear,1
O-00062,P-8708,C-4736,Beauty,Serum,16578.0,35.0,10775.7,Website,Credit Card,2,486,30,6,New,East,Rainy,0
O-00063,P-4819,C-3798,Clothing,Jacket,9101.0,38.0,5642.62,Mobile Web,Credit Card,2,1413,37,3,Loyal,East,Rainy,0
O-00064,P-2473,C-7402,Clothing,Kurta,10596.0,23.0,8158.92,App,UPI,8,1841,49,9,Regular,North,Cold,0
O-00065,P-8585,C-4532,Home,Cookware,10157.0,22.0,7922.46,App,COD,8,1513,2,4,Regular,South,Cold,1
O-00066,P-1401,C-6688,Clothing,Tshirt,,,9624.8,,COD,3,396,24,9,Regular,,Rainy,1
O-00067,P-8686,C-6737,Electronics,Mobile,16843.0,42.0,9768.94,Website,Credit Card,4,1343,39,7,Regular,North,Hot,0
O-00068,P-8599,C-3979,clOThing,Boots,6901.0,46.0,3726.54,Website,Credit Card,7,1381,42,3,Regular,South,Cold,0
O-00069,P-6245,C-5488,Clothing,Jacket,7807.0,17.0,6479.81,Mobile Web,Credit Card,5,218,1,3,Loyal,West,Hot,0
O-00070,P-2724,C-3332,Home,Cookware,6909.0,15.0,5872.65,App,Credit Card,9,1384,22,4,New,North,Hot,1
O-00071,P-5731,C-6703,Footwear,Sneakers,3571.0,35.0,2321.15,Mobile Web,Wallet,8,1244,43,4,Loyal,West,Hot,0
O-00072,P-8037,C-5146,Shoes,Running,19271.0,31.0,13296.99,Mobile Web,COD,2,1019,36,8,Regular,East,Hot,0
O-00073,P-2385,C-3593,Footwear,Boots,2323.0,49.0,1184.73,Mobile Web,Credit Card,9,1502,31,3,New,North,Rainy,0
O-00074,P-9868,C-8737,Clothing,Jacket,9896.0,43.0,5640.72,Website,UPI,9,491,20,0,Loyal,East,Clear,0
O-00075,P-4999,C-8402,Home,Lamp,5468.0,46.0,2952.72,App,COD,1,751,47,0,Regular,North,Cold,0
O-00076,P-8788,C-7658,Beauty,Serum,15519.0,0.0,15519.0,Mobile Web,UPI,8,769,2,9,New,North,Hot,0
O-00077,P-3366,C-7094,Footwear,Sneakers,19044.0,25.0,14283.0,Website,COD,7,808,34,8,Regular,East,Rainy,0
O-00078,P-8679,C-9121,Electronics,Laptop,7091.0,38.0,4396.42,App,Credit Card,6,903,19,1,New,East,Cold,0
O-00079,P-5048,C-7458,Beauty,Cream,13565.0,17.0,11258.95,Website,Wallet,5,1997,31,2,Loyal,South,Hot,0
O-00080,P-7307,C-7611,Clothing,Shirt,,,11572.16,,COD,4,996,45,2,Regular,,Clear,1
O-00081,P-5992,C-1159,Clothing,Shirt,7147.0,10.0,6432.3,App,UPI,9,1272,44,3,Regular,South,Cold,0
O-00082,P-3560,C-4120,Shoes,Casual,10908.0,49.0,5563.08,Mobile Web,UPI,3,1125,16,8,Loyal,South,Hot,0
O-00083,P-1225,C-3694,Electronics,Laptop,12473.0,32.0,8481.64,Mobile Web,COD,3,651,8,1,Regular,West,Clear,0
O-00084,P-8053,C-6713,Electronics,Headphone,15881.0,29.0,11275.51,Website,Wallet,5,1900,49,5,Loyal,South,Cold,0
O-00085,P-2540,C-6058,Electronics,Charger,,,8655.01,,COD,4,1309,15,9,Loyal,,Cold,1
O-00086,P-1926,C-3642,Footwear,Boots,19203.0,36.0,12289.92,App,COD,3,1148,3,9,Regular,South,Hot,1
O-00087,P-6719,C-4460,Clothing,Shirt,17069.0,5.0,16215.55,Mobile Web,COD,9,1399,22,2,Loyal,South,Rainy,1
O-00088,P-2008,C-4732,Footwear,Sneakers,232.0,14.0,199.52,Mobile Web,COD,1,231,25,2,Regular,North,Rainy,0
O-00089,P-5767,C-3342,Home,Lamp,9451.0,42.0,5481.58,App,UPI,6,492,45,4,Loyal,East,Rainy,0
O-00090,P-1437,C-5452,Electronics,Mobile,18621.0,24.0,14151.96,Website,Wallet,7,390,7,6,New,South,Clear,0
O-00091,P-8348,C-1281,Clothing,Shirt,18671.0,9.0,16990.61,App,COD,7,1244,23,2,New,East,Clear,0
O-00092,P-8679,C-5798,Home,Bedsheet,293.0,14.0,251.98,Website,UPI,2,1794,38,9,Loyal,South,Rainy,0
O-00093,P-9183,C-9860,Home,Bedsheet,19371.0,30.0,13559.7,App,UPI,7,1628,7,3,Regular,West,Clear,0
O-00094,P-3858,C-8408,Home,Bedsheet,8397.0,31.0,5793.93,App,Wallet,1,1474,17,3,New,East,Clear,0
O-00095,P-8432,C-3854,Shoes,Formal,6169.0,36.0,3948.16,App,Wallet,2,1191,11,1,Loyal,North,Hot,0
O-00096,P-9924,C-3384,Beauty,Perfume,10244.0,6.0,9629.36,App,Wallet,1,1111,49,5,Regular,South,Clear,0
O-00097,P-2488,C-6595,Clothing,Jacket,8417.0,26.0,6228.58,App,UPI,7,110,22,5,New,South,Rainy,0
O-00098,P-6360,C-2406,Home,Cookware,559.0,2.0,547.82,App,Wallet,8,1679,12,6,Regular,North,Hot,0
O-00099,P-7867,C-6101,Beauty,Perfume,10746.0,36.0,6877.44,App,Wallet,7,1966,7,4,Loyal,East,Cold,0
O-00100,P-4671,C-9454,Clothing,Tshirt,10500.0,21.0,8295.0,App,Wallet,9,1318,19,1,Loyal,South,Clear,0
O-00101,P-9278,C-8729,Electronics,Mobile,13703.0,9.0,12469.73,Mobile Web,Wallet,3,432,17,4,Loyal,East,Hot,0
O-00102,P-7674,C-6874,Shoes,Casual,10436.0,4.0,10018.56,Mobile Web,Credit Card,8,1900,28,4,New,West,Cold,0
O-00103,P-1029,C-2839,Shoes,Formal,10157.0,4.0,9750.72,Website,Credit Card,5,56,10,9,Loyal,South,Cold,0
O-00104,P-3871,C-4132,Beauty,Serum,8013.0,31.0,5528.97,Website,Credit Card,6,775,20,0,Regular,East,Cold,0
O-00105,P-4263,C-4546,Clothing,Shirt,6893.0,18.0,5652.26,Mobile Web,COD,3,334,15,6,New,South,Clear,1
O-00106,P-7780,C-6257,Shoes,Running,2158.0,23.0,1661.66,Mobile Web,UPI,3,961,10,9,New,South,Hot,0
O-00107,P-1077,C-5332,Footwear,Sneakers,,,2678.34,,Wallet,3,1308,33,4,Loyal,,Clear,0
O-00108,P-8889,C-7953,Electronics,Headphone,15343.0,15.0,13041.55,Mobile Web,COD,9,1231,49,3,Loyal,East,Clear,1
O-00109,P-4826,C-1872,Shoes,Running,4602.0,27.0,3359.46,Mobile Web,Wallet,7,1237,20,5,Regular,North,Clear,1
O-00110,P-6257,C-5715,Electronics,Mobile,17068.0,18.0,13995.76,Mobile Web,Credit Card,3,1697,18,8,Regular,North,Cold,0
O-00111,P-4675,C-2085,Clothing,Tshirt,12146.0,47.0,6437.38,App,Wallet,7,209,19,2,New,West,Hot,0
O-00112,P-3207,C-8910,Electronics,Mobile,9107.0,9.0,8287.37,Mobile Web,COD,8,1152,43,7,Regular,East,Hot,1
O-00113,P-1328,C-9459,Electronics,Mobile,6063.0,8.0,5577.96,App,Wallet,1,1556,16,5,New,South,Rainy,0
O-00114,P-2185,C-4237,Home,Lamp,8804.0,18.0,7219.28,App,COD,9,187,24,8,Loyal,North,Clear,0
O-00115,P-8868,C-1270,Shoes,Running,3455.0,12.0,3040.4,Website,COD,2,1834,0,3,Loyal,East,Clear,0
O-00116,P-2684,C-8556,Footwear,Sandals,10731.0,33.0,7189.77,Mobile Web,COD,8,1635,37,3,Regular,West,Clear,0
O-00117,P-9385,C-4081,Beauty,Serum,11271.0,2.0,11045.58,App,Wallet,6,1249,2,7,Regular,West,Cold,0
O-00118,P-6750,C-7784,Electronics,Laptop,8872.0,14.0,7629.92,App,Credit Card,9,568,14,8,New,South,Rainy,1
O-00119,P-5470,C-4535,Footwear,Sneakers,15795.0,31.0,10898.55,App,Wallet,6,645,20,7,Loyal,South,Rainy,0
O-00120,P-9549,C-5729,Home,Cookware,9561.0,30.0,6692.7,Website,Credit Card,2,190,33,9,Loyal,East,Clear,0
O-00121,P-3499,C-9925,Electronics,Charger,14978.0,37.0,9436.14,Website,Credit Card,7,1323,8,3,Regular,West,Hot,0
O-00122,P-6055,C-2345,Footwear,Sandals,8182.0,44.0,4581.92,Mobile Web,Credit Card,5,1452,45,3,Regular,North,Hot,0
O-00123,P-3326,C-2132,Beauty,Serum,9394.0,22.0,7327.32,Mobile Web,COD,3,1338,6,6,Loyal,East,Rainy,1
O-00124,P-8002,C-9456,Clothing,Jacket,4116.0,8.0,3786.72,Mobile Web,Wallet,3,1827,33,1,New,West,Rainy,0
O-00125,P-9228,C-9192,Electronics,Headphone,5765.0,33.0,3862.55,Mobile Web,COD,9,1088,27,7,Loyal,West,Hot,1
O-00126,P-3884,C-7461,Home,Cookware,12584.0,3.0,12206.48,Mobile Web,Credit Card,4,886,34,5,New,East,Rainy,0
O-00127,P-2587,C-9422,Shoes,Casual,147560.0,22.0,5754.84,Mobile Web,Wallet,3,651,42,5,Loyal,South,Rainy,0
O-00128,P-9213,C-9589,Home,Lamp,5035.0,20.0,4028.0,Mobile Web,UPI,8,1872,48,0,Loyal,West,Cold,0
O-00129,P-7297,C-3161,Clothing,Jeans,12599.0,22.0,9827.22,Website,Credit Card,6,585,15,2,Regular,East,Rainy,0
O-00130,P-8744,C-6138,Footwear,Sandals,16357.0,14.0,14067.02,App,UPI,1,87,16,4,Loyal,North,Cold,0
O-00131,P-2037,C-4510,Beauty,Perfume,12177.0,5.0,11568.15,Website,Wallet,3,393,47,1,New,South,Rainy,0
O-00132,P-1626,C-9445,Home,Cookware,19620.0,31.0,13537.8,App,Credit Card,8,506,13,4,Loyal,North,Hot,1
O-00133,P-2401,C-4811,Beauty,Perfume,11597.0,8.0,10669.24,Website,Credit Card,3,1006,14,6,Loyal,East,Clear,0
O-00134,P-1856,C-7149,Shoes,Running,10425.0,5.0,9903.75,Mobile Web,COD,9,647,15,2,Regular,North,Rainy,1
O-00135,P-3913,C-8086,Footwear,Boots,15309.0,17.0,12706.47,Mobile Web,Wallet,9,1644,46,4,Regular,South,Clear,0
O-00136,P-9036,C-3406,Beauty,Cream,9926.0,11.0,8834.14,App,Credit Card,8,1832,4,3,New,South,Hot,1
O-00137,P-1781,C-4926,Home,Cookware,4688.0,0.0,4688.0,Mobile Web,Wallet,1,79,16,6,Loyal,West,Rainy,0
O-00138,P-8407,C-5977,Electronics,Mobile,17243.0,13.0,15001.41,Website,UPI,8,96,4,4,Regular,East,Hot,1
O-00139,P-5848,C-7751,Electronics,Charger,4189.0,25.0,3141.75,Mobile Web,UPI,3,742,20,2,Regular,North,Hot,0
O-00140,P-2586,C-2460,Beauty,Perfume,1902.0,16.0,1597.68,App,COD,8,131,19,6,Loyal,West,Clear,0
O-00141,P-2652,C-8874,Electronics,Headphone,18374.0,19.0,14882.94,Mobile Web,Wallet,9,1746,22,1,Regular,North,Rainy,0
O-00142,P-6097,C-7712,Home,Cookware,14747.0,0.0,14747.0,Website,UPI,8,748,35,4,New,East,Clear,0
O-00143,P-3595,C-4767,Footwear,Sandals,12459.0,13.0,10839.33,App,Wallet,1,1654,17,5,New,South,Cold,0
O-00144,P-6076,C-6753,Electronics,Mobile,6432.0,22.0,5016.96,Mobile Web,Wallet,1,731,0,0,New,East,Cold,0
O-00145,P-1855,C-5229,Beauty,Cream,16828.0,44.0,9423.68,Mobile Web,UPI,8,1871,23,0,Regular,North,Rainy,1
O-00146,P-2926,C-9030,Home,Cookware,13654.0,1.0,13517.46,App,UPI,2,218,21,5,New,North,Clear,0
O-00147,P-3198,C-1497,Electronics,Headphone,7007.0,18.0,5745.74,Website,UPI,4,536,46,6,Regular,North,Cold,0
O-00148,P-1966,C-1457,Shoes,Formal,2176.0,37.0,1370.88,App,UPI,6,820,6,1,Loyal,West,Cold,0
O-00149,P-4983,C-1397,Beauty,Serum,3036.0,49.0,1548.36,App,UPI,1,654,23,9,New,East,Cold,1
O-00150,P-5487,C-5777,Beauty,Perfume,19576.0,16.0,16443.84,Website,UPI,9,1913,19,8,Regular,West,Hot,1
O-00151,P-9835,C-1929,Home,Cookware,4493.0,9.0,4088.63,Mobile Web,Wallet,1,1182,28,3,Loyal,South,Rainy,0
O-00152,P-9394,C-7573,Footwear,Sandals,18550.0,40.0,11130.0,Website,Wallet,3,549,22,9,Regular,South,Rainy,0
O-00153,P-9731,C-4111,Footwear,Sandals,7522.0,16.0,6318.48,App,UPI,5,198,15,1,Regular,East,Cold,0
O-00154,P-7799,C-5791,Footwear,Boots,11340.0,37.0,7144.2,App,Credit Card,8,1941,46,1,Regular,North,Hot,1
O-00155,P-1935,C-9314,Home,Lamp,16974.0,19.0,13748.94,Mobile Web,Credit Card,9,19,30,0,Loyal,East,Cold,1
O-00156,P-8668,C-3155,Home,Bedsheet,14920.0,7.0,13875.6,Website,COD,5,909,0,5,Loyal,West,Rainy,0
O-00157,P-1524,C-3432,Shoes,Casual,17047.0,28.0,12273.84,Mobile Web,COD,4,1552,7,4,New,East,Clear,0
O-00158,P-2688,C-9378,Shoes,Formal,,,9941.78,,Wallet,8,1163,18,1,New,,Cold,0
O-00159,P-7564,C-6464,Electronics,Laptop,12833.0,49.0,6544.83,Mobile Web,UPI,9,746,6,4,New,North,Cold,0
O-00160,P-3733,C-7573,clOThing,Cream,5831.0,35.0,3790.15,Mobile Web,COD,1,1880,26,5,Regular,South,Hot,1
O-00161,P-8113,C-6567,Home,Lamp,2449.0,18.0,2008.18,App,COD,6,928,48,5,Loyal,North,Rainy,1
O-00162,P-1871,C-5607,Clothing,Jeans,7013.0,9.0,6381.83,Mobile Web,COD,4,456,40,4,Loyal,North,Clear,0
O-00163,P-4237,C-4860,Shoes,Formal,17706.0,31.0,12217.14,App,UPI,4,81,10,5,Regular,West,Rainy,1
O-00164,P-3715,C-5698,Shoes,Running,14174.0,27.0,10347.02,Mobile Web,UPI,1,628,46,7,Loyal,West,Clear,1
O-00165,P-7498,C-5813,Clothing,Jacket,18751.0,7.0,17438.43,App,Wallet,8,1139,35,3,Loyal,South,Cold,0
O-00166,P-2704,C-5621,Clothing,Tshirt,6350.0,39.0,3873.5,App,COD,9,407,4,6,Loyal,North,Hot,0
O-00167,P-4257,C-9489,Clothing,Jacket,12458.0,42.0,7225.64,Website,COD,9,1593,15,5,Regular,East,Cold,0
O-00168,P-5345,C-5109,Shoes,Casual,14155.0,38.0,8776.1,Website,Wallet,4,567,18,1,Regular,North,Clear,1
O-00169,P-2742,C-9375,Home,Lamp,,,11344.32,,Credit Card,1,80,15,1,Loyal,,Rainy,0
O-00170,P-9424,C-8839,Shoes,Casual,10411.0,33.0,6975.37,Mobile Web,COD,3,1130,2,3,New,West,Clear,1
O-00171,P-3347,C-5834,Clothing,Jeans,7414.0,45.0,4077.7,Website,Credit Card,8,411,25,8,Loyal,East,Hot,0
O-00172,P-1815,C-5246,Shoes,Running,7088.0,5.0,6733.6,App,UPI,4,1245,47,8,Regular,South,Cold,0
O-00173,P-2670,C-6878,Footwear,Sneakers,12405.0,16.0,10420.2,App,Credit Card,2,875,40,2,Loyal,East,Cold,0
O-00174,P-1965,C-6299,Electronics,Charger,3920.0,41.0,2312.8,Website,Credit Card,5,72,25,9,Regular,South,Cold,0
O-00175,P-9758,C-1601,Home,Bedsheet,18450.0,21.0,14575.5,Mobile Web,Credit Card,3,463,35,6,Regular,North,Hot,0
O-00176,P-5279,C-7454,Shoes,Casual,17955.0,14.0,15441.3,App,Wallet,8,1442,32,7,Loyal,West,Rainy,0
O-00177,P-3714,C-4128,Electronics,Charger,15456.0,31.0,10664.64,Website,Credit Card,8,1346,46,9,Loyal,South,Hot,0
O-00178,P-7628,C-5408,Footwear,Sandals,10214.0,2.0,10009.72,Website,Credit Card,2,1199,37,3,New,South,Clear,0
O-00179,P-7591,C-3453,Clothing,Kurta,4647.0,44.0,2602.32,Website,COD,1,1912,40,1,New,North,Rainy,0
O-00180,P-7844,C-2525,Electronics,Mobile,,,11314.56,,Wallet,2,1505,17,7,Regular,,Clear,0
O-00181,P-7363,C-5951,Electronics,Headphone,7772.0,6.0,7305.68,Mobile Web,Credit Card,2,149,21,4,New,West,Hot,0
O-00182,P-8384,C-3491,Beauty,Cream,9075.0,21.0,7169.25,App,UPI,4,371,8,2,Regular,South,Rainy,0
O-00183,P-2651,C-3454,Shoes,Formal,3658.0,15.0,3109.3,Website,COD,1,883,35,3,Loyal,South,Cold,0
O-00184,P-5480,C-6655,Electronics,Mobile,18614.0,18.0,15263.48,Website,COD,8,1250,49,4,Regular,South,Cold,0
O-00185,P-7841,C-1730,Home,Lamp,7304.0,23.0,5624.08,Mobile Web,COD,6,959,23,4,Regular,South,Rainy,0
O-00186,P-1977,C-7415,Home,Bedsheet,16764.0,49.0,8549.64,App,COD,8,146,42,7,Loyal,East,Cold,0
O-00187,P-7740,C-3412,Clothing,Tshirt,2738.0,20.0,2190.4,Mobile Web,Credit Card,6,1878,21,3,Loyal,East,Hot,0
O-00188,P-1521,C-6663,Electronics,Mobile,4064.0,37.0,2560.32,Mobile Web,Wallet,4,128,41,0,Loyal,East,Clear,0
O-00189,P-9291,C-9218,Electronics,Charger,19586.0,13.0,17039.82,Mobile Web,COD,3,1358,49,8,Regular,North,Cold,0
O-00190,P-4869,C-9873,Electronics,Laptop,5439.0,0.0,5439.0,Website,Credit Card,3,1553,38,6,Loyal,East,Rainy,0
O-00191,P-6147,C-6139,Shoes,Running,13596.0,0.0,13596.0,Website,Wallet,8,86,10,2,Loyal,East,Hot,1
O-00192,P-7722,C-2405,Beauty,Cream,8025.0,16.0,6741.0,Website,COD,2,353,9,5,Regular,South,Rainy,0
O-00193,P-2208,C-9845,Home,Bedsheet,14823.0,34.0,9783.18,App,UPI,6,812,12,9,New,North,Cold,0
O-00194,P-5213,C-2178,Beauty,Perfume,2136.0,20.0,1708.8,App,COD,2,813,23,2,New,North,Cold,0
O-00195,P-6411,C-3466,Home,Lamp,12800.0,13.0,11136.0,App,UPI,3,278,1,9,Regular,South,Cold,0
O-00196,P-1316,C-1765,Electronics,Laptop,8104.0,12.0,7131.52,App,Wallet,6,872,39,1,New,South,Cold,0
O-00197,P-5706,C-1454,Electronics,Charger,1635.0,11.0,1455.15,Mobile Web,Wallet,5,618,4,6,Regular,West,Hot,0
O-00198,P-7554,C-9776,Clothing,Shirt,18782.0,5.0,17842.9,Website,COD,8,382,26,9,Loyal,North,Cold,0
O-00199,P-9880,C-3144,Home,Cookware,8587.0,5.0,8157.65,App,Credit Card,7,1015,25,5,Loyal,South,Cold,0
O-00200,P-7627,C-3605,Beauty,Perfume,,,3152.7,,UPI,5,1595,9,3,Loyal,,Cold,0
O-00201,P-4530,C-4168,Beauty,Perfume,3303.0,49.0,1684.53,Website,Credit Card,6,953,3,9,New,North,Hot,0
O-00202,P-8089,C-6405,clOThing,Sneakers,5824.0,25.0,4368.0,Website,Credit Card,9,965,44,7,New,North,Cold,0
O-00203,P-9412,C-8465,Electronics,Laptop,6023.0,32.0,4095.64,Mobile Web,COD,5,448,45,7,New,East,Hot,1
O-00204,P-8785,C-7752,Footwear,Sandals,7095.0,40.0,4257.0,App,Wallet,4,838,47,8,New,South,Hot,0
O-00205,P-7612,C-8970,Home,Lamp,4621.0,37.0,2911.23,App,COD,5,1067,20,7,Loyal,North,Cold,1
O-00206,P-7389,C-1971,Electronics,Headphone,19178.0,22.0,14958.84,Website,UPI,7,1856,26,1,Regular,North,Rainy,0
